歌曲名,专辑名,艺人名,歌曲译名
Can't Take My Eyes Off You,& The Four Seasons - Back to the Diner,Frankie Valli,
Pregnant Pause,Present Tense,Wild Beasts,
Female Vampire,Blood Bitch,Jenny Hval,
Worth It,Now That's What I Call Music! 91,Fifth Harmony;Kid Ink,
"Piano Concerto No.24 in C minor, K.491 - 2. Larghetto",Mozart: Piano Concertos Nos.20 & 24,Clara Haskil,
The Other,The Other,Lauv,
Forbidden Colours,Secrets of the Beehive,David Sylvian,
Favours,On Account of Your Love,Brett,
Green Grass of Tunnel,Finally We Are No One,múm,
歌舞伎町の女王,Ringo Expo 08,椎名林檎,
愛し子よ ,愛し子よ,ルルティア,
美貌の青空,UTAU,大貫妙子;坂本龍一,
You're Mine,You're Mine,Lola Marsh,
海鸥,雨昼,逆耳乐队,Larus Canus
Franz Schubert Standchen D.957 Nr.4,Favorite Violin Pieces,Arthur Grumiaux,
A Wishful Way ,独立女皇,跳房子,
Animal Fazenda ,独立女皇,跳房子,
When It Comes To Us,Grow,Frances;Ritual,
Warm on a Cold Night,Warm On A Cold Night,HONNE,
Pinata,New Clear War,Montgomery,
Slacks,Slacks,St. South,
Beauty,Beauty,Wolf Colony,
Lean On,Lean On,Major Lazer;MØ;DJ Snake,
This Is What You Came For,Now That's What I Call Music! 94,Rihanna;Calvin Harris,
i hate u i love u,i hate u i love u,gnash;Olivia O'Brien,
Watch,Little Mourning,Milk & Bone,
Work (R3hab Remix),Work,Rihanna;Drake;R3HAB,
Crush,Crush,Usher;Yuna,
Prologue/Babushka,Everything Is Illuminated (Original Motion Picture Soundtrack),Paul Cantelon,
你快乐所以我快乐,勇士与稻穗-陈建年&巴奈 现场演唱会实况,巴奈,
鱼,大脚姐仔,陈小霞,
不怕付出,你开心了湄?,蓝心湄,
七层塔介滋味,每日,罗思容,
Make You Feel,Make You Feel,Alina Baraz;Galimatias,
River Full of Liquor,River Full of Liquor,Leon Else,
Lullaby ,Galore: The Singles 1987-1997,The Cure,
We Don't Talk Anymore (Heyder Remix),We Don't Talk Anymore (Heyder Remix),Heyder;Selena Gomez;Charlie Puth,
The Rivers That Run Beneath This City ,The Calm Blue Sea,The Calm Blue Sea,
String Quartet no.17 in B flat major K.458 ‘The Hunt’: IV. Allegro assai,Mozart: String Quartets,Jerusalem Quartet,
Bon Voyage,MODE,TRIX,
Wolfgang Amadeus Mozart Menuett aus Divertimento D-dur KV334,Favorite Violin Pieces,Arthur Grumiaux,
Mr.Lawrence,Change ,VOLTA MASTERS,
Mushaboom,Let It Die,Feist,
Not Going Home,Not Going Home,Great Good Fine Ok,
Flowers in December,Flowers in December,Mazzy Star,
Flavor Of Life (Ballad Version),HEART STATION,宇多田ヒカル,
Fish In The Pool,花とアリス,岩井俊二,池中鱼
涙の物語,Good Luck To You,有里知花,
"Ludwig van Beethoven: Piano Concerto No. 5 in E flat major ('Emperor'), Op. 73 - Adagio un poco mosso","Beethoven: Piano Concertos Nos. 1- 5 / Choral Fantasy, Opp. 15,19,37,58,73,80",Rudolf Serkin;Rafael Kubelík;Symphonieorchester des Bayerischen Rundfunks,
"Violin Concerto In E Minor, Op.64: II. Andante",Mendelssohn & Glazunov  Violin Concertos,Leila Josefowicz,
Sleepless Dream,Cinematique,Chris Minh Doky,
Merry Christmas Mr. Lawrence,Late Night Tales: At the Movies,Various Artists,
Merry Christmas Mr. Lawrence,Kuschelklassik Piano Dreams Vol. 3,Martin Ermen,
Merry Christmas Mr. Lawrence,The Longest Day (The Ultimate World War Movie Theme Collection),City of Prague Philharmonic Orchestra,
Forbidden Colours,Voce - Sarah Brightman Beautiful Songs,Sarah Brightman,
戦場のメリークリスマス,Another Side Of Yoshida Brothers,吉田兄弟,
"Merry Christmas,Mr Lawrence",Virgin House~Ryuichi Sakamoto Tribute~,坂本龍一,
Father Christmas,Gruppo Musicale II,坂本龍一,ファーザー・クリスマス
Merry Christmas Mr. Lawrence,Fact,FACT,
Merry Christmas Mr. Lawrence,CinemOcean,Anastasi,
Merry Christmas Mr. Lawrence,A Christmas Album,California Guitar Trio,
Merry Christmas Mr.Lawrence,The Most Relaxing Feel-vol.5,押尾コータロー,
MERRY CHRISTMAS MR. LAWRENCE,Theatre Of Strings,春畑道哉,
Sakamoto: Theme from Merry Christmas Mr.Lawrence,Duel,Craig Owen and Greg Scot,
Merry Christmas Mr. Lawrence (2012_12_09 Seoul Set1),Ryuichi Sakamoto l The best of THREE live in Japan & Korea,坂本龍一,
Merry Christmas Mr.Lawrence,Playing the Piano 2009 Japan,坂本龍一,
Flower Dance,A Cup Of Coffee,DJ OKAWARI,
Sweet Disposition,Conditions,The Temper Trap,
Just Give Me a Reason,Just Great Songs 2014,Nate Ruess;P!nk,
Feel Good Sunshine,Technicolor,Tim Myers,
Lilium ~opening Version~,エルフェンリート (elfen lied) OST,MOKA☆,
生命中最美丽的一天     ,不,痛仰乐队,
キララ,SAMURAI 7,和田薫,
Secrets AMFB Onerepublic,Time Machine (Part 1),Bryson Andres,
南国的孩子,为日本加油,安溥,
Daisy Lane,Pull the Pin,Stereophonics,
It's Personal,Pet Grief,The Radio Dept.,
夏の終わりに  ,FOREST GREEN 6 ― The Field ,神山純一,
III,Who You Are Is Not Enough,Athletics,
Nocturne No. 20 Op. Posth. In C Sharp Minor,Sweet Sorrow,Sarah Chang,
暁の光,Beyond,上妻宏光,
给未来的自己,崇拜,梁静茹,
Royals,Pure Heroine,Lorde,贵族
Thunder,Darkest Place,Woman's Hour,
RAIN MAN,RAIN STORY,AKIHIDE,
爱,莫后年代 莫文蔚20周年世纪典藏,莫文蔚,
恋人未满,女生宿舍,S.H.E,Not Yet Lovers
Forbidden Colours  ,Cinemage,坂本龍一,
阳光下的星星,Hannah Kim 创作自选集,金海心,
もののけ姫,ピアノによる珠玉のアニメ映画主題歌集「いつも何度でも/もののけ姫」,奥戸巴寿,
Second Heartbeat,Timeshare,Shy Girls,
心惊胆战,敷衍,王菲,
"Farewell, Stars",Folding Leaves,Message to Bears,
Almost Lover,One Cell In the Sea,A Fine Frenzy,
涙そうそう,映画「涙そうそう」オリジナル・サウンドトラック,夏川りみ,
桜(さくら),月光,贾鹏芳;美野春樹;渡辺俊幸,Cherry Blossoms
吾妻 (Live),2016超级女声 总决赛第六场,李雨,
少年锦时,吉姆餐厅,赵雷,
Yellow,Parachutes,Coldplay,
安静了,我的电台,S.H.E,It's Quiet Now
Winter Dance,風,Uttara-Kuru,雪舞
Run,Final Straw,Snow Patrol,
飘雪,归来吧,陈慧娴,
Always,Brett,Brett,
月の明り -ファイナルファンタジーIV 愛のテーマ-,月の明り,伊田恵美,
somewhere else,Here's To Nowhere,Mesita,
Two Weeks,LP1,FKA twigs,
潮騒,遠TONE音,遠TONE音,The Sound Of The Sea
茜雲,遠TONE音,遠TONE音,Dark Red Clouds
サクラ サクラ (Instrumental With 尺八・三味线),サクラ サクラ,Rin',
もらい泣き,PIANO MAN II,武部聡志;伍芳,
"Violin Concerto No. 2 in B minor, Op. 7, MS 48: III. Rondo a la clochette,La campanella",Paganini: Violin Concertos Nos. 1 And 2,Ilya Kaler,
星降る夜のリストランテ,TVアニメーション「リストランテ・パラディーゾ」O.S.T.musica paradiso ,コーコーヤ,
koko,koko,坂本龍一,
心酸,感官/世界,林宥嘉,Heartbreak
TAO ～道標～,絆,ZAN,
睡莲,遥,贾鹏芳,A Water Lily / すいれん
Clair de lune (from Suite bergamasque),The Very Best of Debussy,Claude Debussy,月光 -- 贝加摩组曲
"Three Is An Orgy, Four Is Forever",Satyriasis: Somewhere Between Equilibrium and Nihilism,Ordo Rosarius Equilibrio,
陰陽師2メインテーマ,陰陽師II オリジナル・サウンドトラック,梅林茂,
欢沁,琵琶相,林海,
Lai Lai Hei,Iron,Ensiferum,
The World Is Our ___,Young Mountain,This Will Destroy You,
诱惑的街 (Live),理性与感性 作品音乐会,梁静茹,
"All Is Violent, All Is Bright","All Is Violent, All Is Bright",God Is An Astronaut,
風の住む街,風の住む街,磯村由紀子,风居住的街道
蘇州夜曲  ,ムーン・ダンス,Ann Sally,
Amore,Playing the Piano,坂本龍一,
雨の夜明け,Romantique,大貫妙子,
杨柳,范宗沛与孽子,范宗沛,
"Introduction And Rondo Capriccioso, Op.28",Violin for Anne Rice,Leila Josefowicz,
Drip Drip Drip,神奇的α波 潜意识疗法 舒眠,植地雅哉,滴落的星子
Romance for Violin and Orchestra,Solace,Michael Hoppé,
How can I be sure,Sleeping Patterns,Anomie Belle,
雨,The Piano In Darkness,広橋真紀子,
Dvorak : Song To The Moon (Rusalka),dream,Ophélie Gaillard,
"Piano Concerto No.20 in D minor, K.466 - 2. Romance","Mozart: Piano Concerto in D Minor, K. 466, Scarlatti: 11 Sonatas",Clara Haskil,
toxicity,名もなき毒 オリジナル・サウンドトラック,横山克,
Shining Boy & Little Randy / 星になった少年,星になった少年~Shinning Boy&Little Randy~,坂本龍一,
我真的受伤了,The Songbird Anthology,王菀之,
许愿池的希腊少女,The Songbird Anthology,王菀之,
Solveig's Song,Grieg: Cello Concerto; 8 Songs arr. cello & orchestra,Raphael Wallfisch,
Henry,Get off a bus and ride on a cloud,Nanofingers,
a life,UTAU,大貫妙子;坂本龍一,
流水浮灯,青蛇 电影原声带,黄霑,
Unknown Coordinates,Unknown Coordinates,Dom Mino',
"Schumann, Clara - Romanze op. 22 Nr. 1 - Andante molto",The Romantic Violinist: A Celebration of Joseph Joachim,Daniel Hope,
Waltz For Afternoons,Away Melancholy Away,Eric Harry,
Michail Glinka: Nocturne f-Moll"La séparation",Der Bote,Alexei Lubimov,
蘇州夜曲,連続テレビ小説「ごちそうさん」オリジナル・サウンドトラック ゴチソウノォト おかわり,菅野よう子,
苏州夜曲,夜来香,李香兰,
letter,still glow,yutaka hirasaka,
蘇州夜曲,服部良一～生誕１００周年記念トリビュート・アルバム～,小田和正,
戦場のメリークリスマス  ,Christmas Album ,tico moon,
タンゴ,SMOOCHY スムーチー,坂本龍一,
美貌の青空,SMOOCHY スムーチー,坂本龍一,
Rain (I Want a Divorce),The Last Emperor (Original Motion Picture Soundtrack),坂本龍一,
A Flower Is Not A Flower,花非花,温金龙,
The Man Who Sold The World,Nirvana,Nirvana,
Sola Sistim,A   Hundred Days Off,Underworld,
学会,首张国语创作专辑,王菀之,
若き日の望楼,Romantique,大貫妙子,
太阳照常升起,太阳照常升起 电影原声大碟,久石譲,The Sun Also Rises
6 Jobs,现象师,现象师,
1973,1973,James Blunt,
Time After Time ～花舞う街で～-Theater Version-,If I Believe,倉木麻衣,
迷夜 Pt.I,Dopamine,Dopamine,
No Turning Back,Take My Breath Away,Gui Boratto,
Home,Up From Below,Edward Sharpe & The Magnetic Zeros,
In Your Room,Winks & Kisses: Melted,Airiel,
Young Blood,Young Blood,The Naked and Famous,
Peacon,The End of the Pier,The Workhouse,
Merry Christmas Mr.Lawrence ,～Rin' Christmas Cover Songs～聖夜,Rin',
Morning (Peer Gynt),The 100 Most Beautiful Melodies (6 CD Box Set),André Rieu,
Peer Gynt,Rock Symphonies,David Garrett,
Alive,SO FRESH 2016,Sia,
Fluid,Fluid,Amy Kuney,
Young and Beautiful (DH Orchestra Version),The Great Gatsby (Music from Baz Luhrmann's Film),Lana Del Rey,
mum,颗粒 - mum (Produced by 阎宁),颗粒,
Bonthrop,Orlando,Ataraxia,
Partus,Porta VIII,sToa,
丝路,丝路,梁静茹,
失忆,亲亲,梁静茹,
Fengari,Oil On Canvas,Ataraxia,
Know Who You Are at Every Age,Four-Calendar Café,Cocteau Twins,
Lorelei,Treasure,Cocteau Twins,
"Sea, Swallow Me",The Moon and the Melodies,Cocteau Twins;Harold Budd,
Discovery,Swimming,The Names,
Sakitama~幸魂~ (Instrumental) ,Sakitama~幸魂~,Rin',
颗粒 - 日光倾城 (Groovemiki Remix),日光倾城 (Groovemiki Remix),颗粒,
No-one is there,Dead Lovers' Sarabande (Face Two),Sopor Aeternus & the Ensemble of Shadows,
为你我受冷风吹 (国语) (Live),Sandy Lam Concert MMXI,林忆莲,
Risa,Introducing FOUR of a KIND,本田雅人,
Explosions on the Ground,Explosions on the Ground,oNEwAY,
No Way Out,No Way Out,A Challenge Of Honour,
Rainy Airport,Rainy Airport,oNEwAY,
Forever Lost,"All Is Violent, All Is Bright",God Is An Astronaut,
雨天广场,羊秘密,Secrets of Young,
Ain't No Mountain High Enough,The Greatest,Diana Ross,
Ain't No Mountain High Enough,Diana Ross,Diana Ross,
400 Lux,Pure Heroine,Lorde,400照度
迷失表参道,晴歌集,王菀之,
Heavenly Creatures,Creature Songs,Wolf Alice,
She Wants,No Bad Days,Sunset Sons,
Our Love Has No Rhythm,To The End,Woman's Hour,
Crime Pays,Burning Bush Supper Club,Bear Hands,
Once Upon More Beautiful Days: In Memory of my Parents,Popper: Romantic Cello Favorites,János Starker,
Everything Is Embarrassing,Ghost,Sky Ferreira,
森林狂想曲,森林狂想曲,吴金黛,
Fringe Main Title Theme (Composed by J.J. Abrams),Fringe (Original Television Soundtrack),Chris Tilton,
Intro,An Awesome Wave,Alt-J,
Stabat Mater (Piano suite),Stabat Mater,Stabat Mater,
南方 (Live) ,黄金时代Live,达达,
"Piano Concerto No.2 In C, Op.18: Allegro Scherzando",Rachmaninov: Piano Concerto No. 2,Hélène Grimaud,
"Piano Concerto No.2 In C, Op.18: Adagio Sostenuto",Rachmaninov: Piano Concerto No. 2,Hélène Grimaud,
"Piano Concerto No.2 In C, Op.18: Moderato",Rachmaninov: Piano Concerto No. 2,Hélène Grimaud,
Smells Like Teen Spirit,Nevermind,Nirvana,
Your Best Friend,MAI KURAKI BEST 151A -LOVE & HOPE-,倉木麻衣,
Music to Watch Boys To,Honeymoon,Lana Del Rey,
Scream,Art Angels,Grimes;狸猫,
Writing's On the Wall,Writing's On the Wall,Sam Smith,
The Hills,Beauty Behind the Madness,The Weeknd,
写一首歌,昨日·唯一·更多,顺子,
Beautiful,2004 Grammy Nominees,Christina Aguilera,
Celebration,PES2010 V2.0 (Original Soundtrack),Madonna,
Danse Macabre,Not a Second Time,Ophelia's Dream,
Lithium (Smart Sessions),Nevermind,Nirvana,
Time Is Running Out,Absolution,Muse,
Stairway to Heaven,Led Zeppelin IV,Led Zeppelin,
Cheek to Cheek,Ella and Louis [Master Edition],Ella Fitzgerald,
The Promise,The Piano (Bande Originale du Film),Michael Nyman,
Earth,Piano Opus,Brian Crain,
Angels,Angels,The xx,
You’re Better Off,You Are Found,Erin Lang,
Learning Your Way,Silver Lining,Lucy Iris,
Everybody Knows I Love You,Naked,Lovebugs,
Oceanside,Melody Lane,Lainey Lou,
香奈儿,寓言,王菲,
